Job Offer Details,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No.,Student ID,Student Name ,,Batch,Company Name ,,Exam Status,,Interview status,,Is Placed,Package
1,202001001,Akash Sharma,,B.Tech ICT,Sprinklr & Atlassian,,Pass ,,Pass,,YES,12 LPA
2,202001002,Priya Patel,,B.Tech ICT,Nexus & Nova,,Pass ,,Pass,,YES,13 LPA
3,202001003,Rajesh Singh,,B.Tech ICT,Sprinklr & Microsoft,,Pass ,,Pass,,YES,21 LPA
4,202001004,Deepika Mehra,,B.Tech ICT,Wipro & Sprinklr,,Pass ,,Pass,,YES,8 LPA
5,202001005,Rahul Gupta,,B.Tech ICT,TCS,,Pass ,,Pass,,YES,6 LPA
6,202001006,Aarav Malhotra,,B.Tech ICT,Infosys,,Pass ,,Pass,,YES,5 LPA
7,202001007,Ananya Reddy,,B.Tech ICT,Microsoft & Zomato,,Pass ,,Fail,,NO,None
8,202001008,Vikram Verma,,B.Tech ICT,Microsoft & Sprinklr,,Pass ,,Pass,,YES,32 LPA
9,202001009,Nisha Kapoor,,B.Tech ICT,Atlassian & Intel,,Pass ,,Fail,,NO,None
10,202001011,Ishita Choudhury,,B.Tech ICT,Dell & Nexus,,Fail ,,None,,NO,None
11,202001012,Vikas Shah,,B.Tech ICT,Microsoft & Google,,Pass ,,Pass,,YES,52 LPA
12,202001013,Divya Joshi,,B.Tech ICT,TCS,,Fail,,None,,NO,None
13,202001014,Rakesh Khanna,,B.Tech ICT,Google,  ,Pass ,,Pass,,YES,15 LPA
14,202001015,Pooja Mehta,,B.Tech ICT,Dell & Nexus,,Fail,,None,,NO,None
15,202001016,Sameer Saxena,,B.Tech ICT,Google & Sprinklr,,Pass ,,Pass,,YES,50 LPA
16,202001017,Ayesha Khan,,B.Tech ICT,Atlassian & Zomato,,Pass ,,Pass,,YES,9 LPA
17,202001018,Siddharth Kumar,,B.Tech ICT,Bundl & Zomato,,Pass ,,Pass,,YES,10 LPA
18,202001019,Sunita Das,,B.Tech ICT,Zomato & Sprinklr,,Pass ,,Pass,,YES,11 LPA
19,202001021,Swati Nair,,B.Tech ICT,Google & Atlassian,,Pass ,,Pass,,YES,25 LPA
20,202001022,Rohan Bhatia,,B.Tech ICT,Google,,Pass ,,Pass,,YES,43 LPA
21,202001023,Kavita Sharma,,B.Tech ICT,Dell & Lenovo,,Fail,,None,,NO,None
22,202001024,Vivek Singhania,,B.Tech ICT,Sprinklr & Atlassian,,Pass ,,Fail,,NO,None
23,202001025,Jaya Rao,,B.Tech ICT,Microsoft & Atlassian,,Pass ,,Pass,,YES,5 LPA
24,202001026,Aditya Mishra,,B.Tech ICT,Atlassian & Sprinklr,,Pass ,,Pass,,YES,8 LPA
25,202001027,Neha Malhotra,,B.Tech ICT,Dell & Intel,,Pass ,,Pass,,YES,11 LPA
26,202001028,Ankit Jain,,B.Tech ICT,Lenovo & Nova,,Pass ,,Pass,,YES,3 LPA
27,202001029,Radhika Menon,,B.Tech ICT,Microsoft & Nexus,,Pass ,,Pass,,YES,20 LPA
28,202001031,Shruti Sharma,,B.Tech ICT,Microsoft & Lenovo,,Pass ,,Pass,,YES,9 LPA
29,202001032,Gaurav Mehra,,B.Tech ICT,Google & Microsoft,,Pass ,,Pass,,YES,21 LPA
30,202001033,Bhavna Patel,,B.Tech ICT,Microsoft & Google,,Pass ,,Pass,,YES,56 LPA
