Id,Name,Branch,Company,Result of return test,Interview Status,Placement Status,Package
202001001,Akash Sharma,B.Tech ICT,Sprinklr,Pass ,Pass,YES,12
202001002,Priya Patel,B.Tech ICT,Nexus,Pass ,Pass,YES,13
202001003,Rajesh Singh,B.Tech ICT,Microsoft,Pass ,Pass,YES,21
202001004,Deepika Mehra,B.Tech ICT,Zomato,Pass ,Pass,YES,8
202001005,Rahul Gupta,B.Tech ICT,TCS,Pass ,Pass,YES,6
202001006,Aarav Malhotra,B.Tech ICT,Infosys,Pass ,Pass,YES,9
202001007,Ananya Reddy,B.Tech ICT,Microsoft & Zomato,Pass ,Fail,NO,0
202001008,Vikram Verma,B.Tech ICT,Sprinklr,Pass ,Pass,YES,32
202001009,Nisha Kapoor,B.Tech ICT,Atlassian & Intel,Pass ,Fail,NO,0
202001011,Ishita Choudhury,B.Tech ICT,Dell & Nexus,Fail ,None,NO,0
202001012,Vikas Shah,B.Tech ICT,Google,Pass ,Pass,YES,52
202001013,Divya Joshi,B.Tech ICT,TCS,Fail,None,NO,0
202001014,Rakesh Khanna,B.Tech ICT,Google,Pass ,Pass,YES,15
202001015,Pooja Mehta,B.Tech ICT,Dell & Nexus,Fail,None,NO,0
202001016,Sameer Saxena,B.Tech ICT,Sprinklr,Pass ,Pass,YES,50
202001017,Ayesha Khan,B.Tech ICT,Atlassian ,Pass ,Pass,YES,9
202001018,Siddharth Kumar,B.Tech ICT,Linked In,Pass ,Pass,YES,10
202001019,Sunita Das,B.Tech ICT,Zomato,Pass ,Pass,YES,11
202001021,Swati Nair,B.Tech ICT,Atlassian,Pass ,Pass,YES,25
202001022,Rohan Bhatia,B.Tech ICT,Google,Pass ,Pass,YES,43
202001023,Kavita Sharma,B.Tech ICT,Dell & Lenovo,Fail,None,NO,0
202001024,Vivek Singhania,B.Tech ICT,Sprinklr & Atlassian,Pass ,Fail,NO,0
202001025,Jaya Rao,B.Tech ICT,Microsoft,Pass ,Pass,YES,5
202001026,Aditya Mishra,B.Tech ICT,Atlassian ,Pass ,Pass,YES,8
202001027,Neha Malhotra,B.Tech ICT,Dell,Pass ,Pass,YES,11
202001028,Ankit Jain,B.Tech ICT,Lenovo,Pass ,Pass,YES,13.2
202001029,Radhika Menon,B.Tech ICT,Nexus,Pass ,Pass,YES,20
202001031,Shruti Sharma,B.Tech ICT, Lenovo,Pass ,Pass,YES,9
202001032,Gaurav Mehra,B.Tech ICT,Microsoft,Pass ,Pass,YES,21
202001033,Bhavna Patel,B.Tech ICT,Google,Pass ,Pass,YES,56
202001034,Arvind Agarwal,B.Tech ICT,Fusion,Pass ,Pass,YES,12
202001035,Priyanka Gupta,B.Tech ICT,Intel,Pass ,Pass,YES,7.2
202001036,Manoj Patel,B.Tech ICT,Google,Pass ,Pass,YES,61
202001037,Shweta Singh,B.Tech ICT,Atlassian & Intel,Pass ,Fail,NO,0
202001038,Sanjay Sharma,B.Tech ICT,Intel,Pass ,Pass,YES,6.8
202001039,Tanvi Reddy,B.Tech ICT,Dell & Lenovo,Fail,None,NO,0
202001041,Ritu Verma,B.Tech ICT,Amazon,Pass ,Pass,YES,12.7
202001042,Nitin Desai,B.Tech ICT,Sprinklr,Pass ,Pass,YES,8
202001043,Anjali Choudhury,B.Tech ICT,Atlassian,Pass ,Pass,YES,5
202001044,Sanjeev Shah,B.Tech ICT,Sprinklr,Pass ,Pass,YES,8.6
202001045,Anushka Joshi,B.Tech ICT,Sprinklr & Atlassian,Pass ,Fail,NO,0
202001046,Sunil Khanna,B.Tech ICT,Lenovo & Nova,Fail,None,NO,0
202001047,Kirti Mehta,B.Tech ICT,TCS,Pass ,Pass,YES,12
202001048,Rajeev Saxena,B.Tech ICT,TCS,Pass ,Pass,YES,14
202001049,Natasha Khan,B.Tech ICT,Dell & Lenovo,Fail,None,NO,0
202001051,Maya Das,B.Tech ICT,Google ,Pass ,Pass,YES,24
202001052,Karthik Chawla,B.Tech ICT,Google,Pass ,Pass,YES,75
202001053,Ananya Nair,B.Tech ICT,Microsoft,Pass ,Pass,YES,15
202001054,Arun Bhatia,B.Tech ICT,Microsoft,Pass ,Pass,YES,31
202001055,Priya Sharma,B.Tech ICT,Sprinklr,Pass ,Pass,YES,5
202001056,Vikram Malhotra,B.Tech ICT,Dell & Nova,Fail ,None,NO,0
202001057,Kavita Rao,B.Tech ICT,Fusion,Pass ,Pass,YES,10
202001058,Manish Singhania,B.Tech ICT, Fusion,Pass ,Pass,YES,5.5
202001059,Shalini Rao,B.Tech ICT,Sprinklr,Pass ,Pass,YES,8
202001061,Meera Malhotra,B.Tech ICT,Microsoft ,Pass ,Pass,YES,22
202001062,Ajay Jain,B.Tech ICT,Google,Pass ,Pass,YES,43
202001063,Nisha Menon,B.Tech ICT,Nexus,Pass ,Pass,YES,5.6
202001064,Abhishek Khatri,B.Tech ICT,Dell,Pass ,Pass,YES,34
202001065,Aarti Sharma,B.Tech ICT,Google,Pass ,Pass,YES,29
202001066,Prakash Mehra,B.Tech ICT,Fusion,Pass ,Pass,YES,6.5
202001067,Shreya Patel,B.Tech ICT, Dell,Pass ,Pass,YES,7
202001068,Amit Agarwal,B.Tech ICT,Amazon,Pass ,Pass,YES,18
202001069,Renu Gupta,B.Tech ICT, Microsoft,Pass ,Pass,YES,47
202001071,Maya Singh,B.Tech ICT,Lenovo,Pass ,Pass,YES,6
202001072,Rohit Nair,B.Tech ICT,Oracle,Pass ,Pass,YES,35
202001073,Swati Kapoor,B.Tech ICT,Zomato,Pass ,Pass,YES,24
202001074,Vishal Verma,B.Tech ICT,Oracle,Pass ,Pass,YES,23
202001075,Rina Das,B.Tech ICT,Zomato,Pass ,Pass,YES,12.5
202001076,Rahul Jain,B.Tech ICT,Infosys,Pass ,Pass,YES,20
202001077,Reena Shah,B.Tech ICT,Intel,Pass ,Pass,YES,10
