Student ID,Student Name,Batch,Year_of_Placement,Mobile No,Company Placed,Salary
201701001,Bhavya Patel,B.Tech ICT,2021,7031852946,Microsoft Corp.,46
201701002,Prisha Sharma,B.Tech ICT,2021,8159263047,Amazon,15
201701003,Rahul Mehra,B.Tech ICT,2021,6297418053,Zomato Pvt. Ltd.,14
201701004,Tanvi Singh,B.Tech ICT,2021,5384716902,Infosys Ltd.,10
201701005,Nihal Kapoor,B.Tech ICT,2021,4902673581,Google Corp.,37
201701006,Saanvi Malhotra,B.Tech ICT,2021,8563947021,Sprinklr Inc.,11
201701007,Bhuvan Choudhury,B.Tech ICT,2021,2718309564,Atlassian Corp.,8
201701008,Paridhi Gupta,B.Tech ICT,2021,9652403187,Fusion Tech.,17
201701009,Rishi Sharma,B.Tech ICT,2021,3847251690,Dell Tech. Inc.,18
201701010,Tanay Kapoor,B.Tech ICT,2021,7024163895,Nexus Group,9
201701011,Naman Joshi,B.Tech ICT,2021,1683954720,Lenovo Group Ltd.,26
201701012,Simran Verma,B.Tech ICT,2021,2958476310,Intel Corp.,19
201701013,Bhargav Singh,B.Tech ICT,2021,5061972483,Oracle Inc.,14
201701014,Preeti Bansal,B.Tech ICT,2021,4328619705,Infosys Ltd.,31
201701015,Rehaan Shah,B.Tech ICT,2021,1874259630,TCS Ltd.,8
201701016,Tanisha Reddy,B.Tech ICT,2021,8203951467,Amazon,11
201701017,Nisha Mehta,B.Tech ICT,2021,3796548021,Google Corp.,48
201701018,Sahil Kapoor,B.Tech ICT,2021,6152978043,Fusion Tech.,19
201701019,Priya Patel,B.Tech ICT,2021,7091832546,Sprinklr Inc.,18
201701020,Riddhi Gupta,B.Tech ICT,2021,9407321865,Dell Tech. Inc.,22
201701021,Tanmay Singh,B.Tech ICT,2021,5826149307,Zomato Pvt. Ltd.,16
201701022,Navya Sharma,B.Tech ICT,2021,4371925086,Nexus Group,36
201701023,Siddharth Khanna,B.Tech ICT,2021,7903486215,Atlassian Corp.,18
201701024,Bhoomi Desai,B.Tech ICT,2021,8563910274,Lenovo Group Ltd.,15
201701025,Pranav Agarwal,B.Tech ICT,2021,3145709862,Intel Corp.,7
201701026,Riya Chopra,B.Tech ICT,2021,9257301486,Oracle Inc.,32
201701027,Tarun Verma,B.Tech ICT,2021,4702138569,Microsoft Corp.,37
201701028,Neha Patel,B.Tech ICT,2021,1859476203,TCS Ltd.,19
201701029,Siddhant Jain,B.Tech ICT,2021,3018752649,Infosys Ltd.,23
201701030,Sneha Singh,B.Tech ICT,2021,6428097531,Dell Tech. Inc.,29
201701031,Priyanshi Mehta,B.Tech ICT,2021,5279386104,Lenovo Group Ltd.,14
201701031,Ria Sharma,B.Tech ICT,2021,3904761285,Fusion Tech.,20
201701032,Bhuvan Kapoor,B.Tech ICT,2021,7619045823,Oracle Inc.,23
201701033,Pallavi Joshi,B.Tech ICT,2021,4926158703,Microsoft Corp.,50
201701034,Rohit Bansal,B.Tech ICT,2021,6875902143,Sprinklr Inc.,24
201701035,Trisha Gupta,B.Tech ICT,2021,2145863709,Zomato Pvt. Ltd.,29
201701036,Navya Mehta,B.Tech ICT,2021,3795406812,Atlassian Corp.,16
201701037,Simar Kapoor,B.Tech ICT,2021,9253874016,Google Corp.,40
201701038,Parth Chawla,B.Tech ICT,2021,6318072549,Nexus Group,16
201701039,Riya Patel,B.Tech ICT,2021,8709351624,Intel Corp.,23
201901101,Rishab Singh,M.tech ICT,2021,2941856037,TCS Ltd.,22
201901102,Nishant Kumar,M.tech ICT,2021,5037862194,Infosys Ltd.,17
201901103,Shivangi Sharma,M.tech ICT,2021,8164927053,Fusion Tech.,24
201901104,Parth Patel,M.tech ICT,2021,3785096214,Amazon,20
201901105,Radhika Gupta,M.tech ICT,2021,2045918637,Lenovo Group Ltd.,21
201901106,Siddharth Singhania,M.tech ICT,2021,5907428163,Oracle Inc.,26
201901107,Priyanka Kapoor,M.tech ICT,2021,7632098415,Microsoft Corp.,34
201901108,Abhishek Mehta,M.tech ICT,2021,4809217356,Sprinklr Inc.,9
201901109, Meera Sharma,M.tech ICT,2021,6948503127,Dell Tech. Inc.,8
201901110,Naman Gupta,M.tech ICT,2021,5724039168,Zomato Pvt. Ltd.,5
