Student ID,Student Name ,Branch,Year Of Placement,Mobile No.,Company Placed,Salary
201801001,Aadi Menon,B.Tech ICT,2022,635428789,Infosys,12
201801002,Neel Desai,B.Tech ICT,2022,635428790,Infosys,10
201801003,Abhinav Khatri,B.Tech ICT,2022,635428791,TCS,15
201801004,Aditya Nair,B.Tech ICT,2022,635428792,Microsoft,28
201801005,Akanksh Singhania,B.Tech ICT,2022,635428793,Microsoft,25
201801006,Alisha Varma,B.Tech ICT,2022,635428794,TCS,11
201801007,Amaya Gupta,B.Tech ICT,2022,635428795,TCS,10
201801008,Anand Kumar,B.Tech ICT,2022,635428796,TCS,14
201801009,Anika Reddy,B.Tech ICT,2022,635428797,Wipro,10
201801010,Anirudh Iyer,B.Tech ICT,2022,635428798,Cognizant,9
201801011,Arnav Patel,B.Tech ICT,2022,635428799,Cognizant,8
201801012,Arya Sharma,B.Tech ICT,2022,635428800,Cognizant,7
201801013,Atharv Choudhury,B.Tech ICT,2022,635428801,Cognizant,6
201801014,Avni Mehra,B.Tech ICT,2022,635428802,Accenture,24
201801015,Ayush Thakur,B.Tech ICT,2022,635428803,Tech Mahindra,11
201801016,Bhavesh Singh,B.Tech ICT,2022,635428804,Tech Mahindra,5
201801017,Bhumi Joshi,B.Tech ICT,2022,635428805,IBM,28
201801018,Devanshi Banerjee,B.Tech ICT,2022,635428806,Cognizant,13
201801019,Dhruvi Shah,B.Tech ICT,2022,635428807,Capegemini,12
201801020,Disha Sharma,B.Tech ICT,2022,635428808,Cognizant,16
201801021,Divit Kapoor,B.Tech ICT,2022,635428809,Capegemini,14
201801022,Ekta Jain,B.Tech ICT,2022,635428810,Microsoft,35
201801023,Eshaan Verma,B.Tech ICT,2022,635428811,HCL Tech.,5
201801024,Gauri Sinha,B.Tech ICT,2022,635428812,HCL Tech.,6
201801025,Gopal Rao,B.Tech ICT,2022,635428813,Wipro,9
201801026,Grishma Patel,B.Tech ICT,2022,635428814,Accenture,21
201801027,Harshita Mehra,B.Tech ICT,2022,635428815,IBM,20
201801028,Ira Chatterjee,B.Tech ICT,2022,635428816,Cognizant,15
201801029,Ishita Kumar,B.Tech ICT,2022,635428817,Wipro,10
201801030,Jai Singh,B.Tech ICT,2022,635428818,Microsoft,48
201801031,Jiya Agarwal,B.Tech ICT,2022,635428819,HCL Tech.,11
201801032,Kavya Khanna,B.Tech ICT,2022,635428820,Capegemini,12
201801033,Kiaan Mehrotra,B.Tech ICT,2022,635428821,Google,50
201801034,Kritika Patel,B.Tech ICT,2022,635428822,Amazon,32
201801035,Lavishka Gupta,B.Tech ICT,2022,635428823,Amazon,26
201801036,Mahi Bhatia,B.Tech ICT,2022,635428824,Amazon,29
201801037,Navya Sharma,B.Tech ICT,2022,635428825,Cognizant,11
201801038,Niharika Joshi,B.Tech ICT,2022,635428826,Oracle,8
201801039,Nikita Singh,B.Tech ICT,2022,635428827,Accenture,19
201801040,Omkar Gupta,B.Tech ICT,2022,635428828,Oracle,5
201801041,Parth Patel,B.Tech ICT,2022,635428829,Microsoft,27
201801042,Pranjal Singh,B.Tech ICT,2022,635428830,Google,52
201801043,Pratyusha Banerjee,B.Tech ICT,2022,635428831,IBM,20
201801044,Qureshi Khan,B.Tech ICT,2022,635428832,Tech Mahindra,12
201801045,Radhika Mehra,B.Tech ICT,2022,635428833,Infosys,6
201801046,Raghav Sharma,B.Tech ICT,2022,635428834,Infosys,9
201801047,Riti Thakkar,B.Tech ICT,2022,635428835,Infosys,8
201801048,Ritvik Kumar,B.Tech ICT,2022,635428836,Accenture,18
201801049,Riya Sengupta,B.Tech ICT,2022,635428837,Accenture,14
201801050,Rudra Choudhury,B.Tech ICT,2022,635428838,Cognizant,10
201801051,Samaira Mehta,B.Tech ICT,2022,635428839,IBM,21
201801052,Shivangi Kapoor,B.Tech ICT,2022,635428840,Tech Mahindra,7
201801053,Siya Trivedi,B.Tech ICT,2022,635428841,HCL Tech.,12
201801054,Sohan Verma,B.Tech ICT,2022,635428842,Oracle,9
201801055,Soumya Gupta,B.Tech ICT,2022,635428843,Oracle,12
201801056,Stuti Patel,B.Tech ICT,2022,635428844,Amazon,39
201801057,Tanisha Reddy,B.Tech ICT,2022,635428845,IBM,26
201801058,Trisha Deshmukh,B.Tech ICT,2022,635428846,TCS,15
201801059,Uday Singhania,B.Tech ICT,2022,635428847,TCS,14
201801060,Urvi Mehra,B.Tech ICT,2022,635428848,HCL Tech.,12
201801061,Vaibhav Chatterjee,B.Tech ICT,2022,635428849,Accenture,28
201801062,Vandana Patel,B.Tech ICT,2022,635428850,Oracle,6
201801063,Vibha Malhotra,B.Tech ICT,2022,635428851,Cognizant,11
201801064,Vedika Chauhan,B.Tech ICT,2022,635428852,Capegemini,19
201801065,Vrinda Rao,B.Tech ICT,2022,635428853,Capegemini,6
201801066,Yashika Mehrotra,B.Tech ICT,2022,635428854,Capegemini,9
201801067,Zaara Patel,B.Tech ICT,2022,635428855,Microsoft,46
201801068,Aarush Sharma,B.Tech ICT,2022,635428856,IBM,18
201801069,Abhay Nair,B.Tech ICT,2022,635428857,TCS,19
202001101,Advait Thakur,M.Tech ICT,2022,635428858,HCL Tech.,6
202001102,Amaira Verma,M.Tech ICT,2022,635428859,TCS,20
202001103,Arush Singh,M.Tech ICT,2022,635428860,Capegemini,8
202001104,Bhavik Patel,M.Tech ICT,2022,635428861,Google,49
202001105,Devansh Khatri,M.Tech ICT,2022,635428862,Microsoft,21
202001106,Diya Mehta,M.Tech ICT,2022,635428863,Amazon,30
